,id,sequence,sitzung,speaker,speaker_cleaned,speaker_fp,speaker_key,speaker_party,text,top,top_id,type,wahlperiode
543,118515,543,126,,,,,,Beifall beim BÜNDNIS 90/DIE GRÜNEN,TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,poi,18
544,118516,544,126,Agnieszka Brugger (BÜNDNIS 90/DIE GRÜNEN),Agnieszka Brugger,agnieszka-brugger,75.0,gruene,"Der gute Antrag aus der letzten Wahlperiode, in dem wir uns gemeinsam über die Partei- und Fraktionsgrenzen hinweg darauf geeinigt haben, den Abzug der nuklearen Waffen zu fordern, ist schon von den Kollegen Ulrich und Kiesewetter angesprochen worden. Es ist ja nicht alltäglich, dass wir alle einer Meinung sind. Liebe Kolleginnen und Kollegen von der Koalition, ich kann Sie nur auffordern: Rücken Sie davon nicht ab! Lassen Sie uns an diesem guten Konsens festhalten!

Auch in den Niederlanden sind Atomwaffen im Rahmen der nuklearen Teilhabe stationiert. Die Freundinnen und Freunde im niederländischen Parlament haben sich getraut, ein klares Zeichen zu setzen, und beschlossen, den Modernisierungsplänen, die die Waffen im eigenen Land betreffen, eine klare Absage zu erteilen. Ebenso haben sie beschlossen, dass die niederländischen Kampfflugzeuge in Zukunft keine Atomwaffen mehr tragen dürfen.",TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,speech,18
545,118517,545,126,,,,,,Beifall beim BÜNDNIS 90/DIE GRÜNEN,TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,poi,18
546,118518,546,126,Sylvia Kotting-Uhl [BÜNDNIS 90/DIE GRÜNEN],Sylvia Kotting-Uhl,sylvia-kotting-uhl,332.0,gruene,Aha! Geht doch!,TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,poi,18
547,118519,547,126,Agnieszka Brugger (BÜNDNIS 90/DIE GRÜNEN),Agnieszka Brugger,agnieszka-brugger,75.0,gruene,"Insofern würde ich meine Rede gerne mit einem versöhnlichen Appell und einem Angebot insbesondere an Sie, liebe Kolleginnen und Kollegen von der Koalition, schließen: Lassen Sie uns doch einen ähnlichen Beschluss fassen und einen mutigen Schritt in Richtung eines atomwaffenfreien Deutschlands gehen.",TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,speech,18
548,118520,548,126,,,,,,Beifall beim BÜNDNIS 90/DIE GRÜNEN sowie des Abg. Alexander Ulrich [DIE LINKE],TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,poi,18
549,118521,549,126,Agnieszka Brugger (BÜNDNIS 90/DIE GRÜNEN),Agnieszka Brugger,agnieszka-brugger,75.0,gruene,"Am Ende ist es eigentlich ganz einfach: Atomwaffen machen die Welt nie, unter keinen Umständen sicherer.",TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,speech,18
550,118522,550,126,Roderich Kiesewetter [CDU/CSU],Roderich Kiesewetter,roderich-kiesewetter,200.0,cducsu,Das hat noch keiner gemerkt!,TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,poi,18
551,118523,551,126,Agnieszka Brugger (BÜNDNIS 90/DIE GRÜNEN),Agnieszka Brugger,agnieszka-brugger,75.0,gruene,"Nur Abrüstung bedeutet am Ende mehr Frieden und Sicherheit für alle.

Vielen Dank.",TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,speech,18
552,118524,552,126,,,,,,Beifall beim BÜNDNIS 90/DIE GRÜNEN,TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,poi,18
553,118525,553,126,Vizepräsidentin Claudia Roth,Claudia Roth,claudia-roth,426.0,,"Vielen Dank, Frau Kollegin Brugger. - Nächster Redner ist Niels Annen für die SPD.",TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,chair,18
554,118526,554,126,,,,,,Beifall bei der SPD sowie bei Abgeordneten der CDU/CSU,TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,poi,18
555,118527,555,126,Niels Annen (SPD),Niels Annen,niels-annen,621.0,spd,"Vielen Dank, liebe Frau Präsidentin. - Liebe Kolleginnen und Kollegen! Frau Brugger, es ist nett, dass Sie uns an diesen guten Antrag erinnern. Das wäre nicht nötig gewesen,",TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,speech,18
556,118528,556,126,Steffi Lemke [BÜNDNIS 90/DIE GRÜNEN],Steffi Lemke,steffi-lemke,183.0,gruene,"Doch, sehr nötig!",TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,poi,18
557,118529,557,126,Niels Annen (SPD),Niels Annen,niels-annen,621.0,spd,weil sich unsere Haltung gar nicht verändert hat. Unsere Fraktion und auch die Große Koalition sprechen sich weiterhin eindeutig für das Ziel der nuklearen Abrüstung aus.,TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,speech,18
558,118530,558,126,Sylvia Kotting-Uhl [BÜNDNIS 90/DIE GRÜNEN],Sylvia Kotting-Uhl,sylvia-kotting-uhl,332.0,gruene,Das ist doch Heuchelei!,TOP ZP 1 Aktuelle Stunde zu Atombomben in Rheinland-Pfalz,2328,poi,18
