"id","wahlperiode","sitzung","title","description","detail","number","title_clean","week","year","category","duration","held_on","sequence","name","session_identifier"
13589,18,250,"TOP 34 Wettbewerbsfähigkeit der Kreativwirtschaft",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",32,"Wettbewerbsfähigkeit der Kreativwirtschaft","TOP 34"
13590,18,250,"TOP 35 Datenbankgrundbuch",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",33,"Datenbankgrundbuch","TOP 35"
13591,18,250,"TOP 36 Langlebigkeit von Produkten",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",34,"Langlebigkeit von Produkten","TOP 36"
13592,18,250,"TOP 37 Harmonisierte Rechnungsführungsgrundsätze in der EU",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",35,"Harmonisierte Rechnungsführungsgrundsätze in der EU","TOP 37"
13593,18,250,"TOP 40 Recht auf Bildung",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",36,"Recht auf Bildung","TOP 40"
13594,18,250,"TOP 39 Psychische Gesundheit in der Arbeitswelt",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",37,"Psychische Gesundheit in der Arbeitswelt","TOP 39"
13595,18,250,"TOP 46 Verbraucherinteressen im Gentechnikrecht",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",38,"Verbraucherinteressen im Gentechnikrecht","TOP 46"
13596,18,250,"TOP 41 Deutsch-koreanische Beziehungen",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",39,"Deutsch-koreanische Beziehungen","TOP 41"
13597,18,250,"TOP 42 Agrarwissenschaften",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",40,"Agrarwissenschaften","TOP 42"
13598,18,250,"TOP 43 Internationalisierung der Wissenschaft",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",41,"Internationalisierung der Wissenschaft","TOP 43"
13599,18,250,"TOP 44 Straßen- und Schienenlärm",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",42,"Straßen- und Schienenlärm","TOP 44"
13600,18,250,"TOP 45 Modernisierung des Geschmacksmustergesetzes",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",43,"Modernisierung des Geschmacksmustergesetzes","TOP 45"
13601,18,250,"TOP 48 Abbau von Diskriminierungen",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",44,"Abbau von Diskriminierungen","TOP 48"
13602,18,250,"TOP 47 Novellierung patentrechtlicher Vorschriften",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",45,"Novellierung patentrechtlicher Vorschriften","TOP 47"
13603,18,250,"TOP 51 Rechtssicherheit für WLAN-Betreiber",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",46,"Rechtssicherheit für WLAN-Betreiber","TOP 51"
13604,18,250,"TOP ZP 15 Grenzüberschreitende Schienenverkehrsachsen",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",47,"Grenzüberschreitende Schienenverkehrsachsen","TOP ZP 15"
13605,18,250,"TOP ZP 16 Gesamtkonzept für die Elbregion",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",48,"Gesamtkonzept für die Elbregion","TOP ZP 16"
13606,18,250,"TOP 49 Staatsleistungen an Religionsgesellschaften",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",49,"Staatsleistungen an Religionsgesellschaften","TOP 49"
13607,18,250,"TOP ZP 17 Schienenanbindung an die Feste Fehmarnbeltquerung",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",50,"Schienenanbindung an die Feste Fehmarnbeltquerung","TOP ZP 17"
13608,18,250,"TOP 50 Kindernachzugsrecht",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",51,"Kindernachzugsrecht","TOP 50"
13609,18,250,"TOP ZP 18 Förderung und Sicherung der deutschen Sprache",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",52,"Förderung und Sicherung der deutschen Sprache","TOP ZP 18"
13610,18,250,"TOP 52 Demografischer Wandel im RV-Leistungsrecht",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",53,"Demografischer Wandel im RV-Leistungsrecht","TOP 52"
13611,18,250,"TOP ZP 19 Kulturgüterschutz",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",54,"Kulturgüterschutz","TOP ZP 19"
13612,18,250,"TOP 55 Aufenthaltsgesetz",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",55,"Aufenthaltsgesetz","TOP 55"
13613,18,250,"TOP ZP 20 Nutzung verwaister und vergriffener Werke",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",56,"Nutzung verwaister und vergriffener Werke","TOP ZP 20"
13614,18,250,"TOP 53 Schutz für Flüchtlinge",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",57,"Schutz für Flüchtlinge","TOP 53"
13615,18,250,"TOP 54 Förderung von Genossenschaftsgründungen",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",58,"Förderung von Genossenschaftsgründungen","TOP 54"
13616,18,250,"TOP 56 Europaweite Bekämpfung synthetischer Drogen",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",59,"Europaweite Bekämpfung synthetischer Drogen","TOP 56"
13617,18,250,"TOP 59 Substitutionstherapie",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",60,"Substitutionstherapie","TOP 59"
13618,18,250,"TOP 57 Mindestpersonalbemessung in Krankenhäusern",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",61,"Mindestpersonalbemessung in Krankenhäusern","TOP 57"
13619,18,250,"TOP 58 Vergabekriterien für Sportgroßveranstaltungen",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",62,"Vergabekriterien für Sportgroßveranstaltungen","TOP 58"
13620,18,250,"TOP 60 Informationsfreiheits- und Transparenzgesetz",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",63,"Informationsfreiheits- und Transparenzgesetz","TOP 60"
13621,18,250,"TOP 63 Presseauskunftsgesetz",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",64,"Presseauskunftsgesetz","TOP 63"
13622,18,250,"TOP 61 Mindestlohn",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",65,"Mindestlohn","TOP 61"
13623,18,250,"TOP 62 Visapolitik",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",66,"Visapolitik","TOP 62"
13624,18,250,"TOP 64 Forschungs- und Innovationsförderung",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",67,"Forschungs- und Innovationsförderung","TOP 64"
13625,18,250,"TOP 65 Fremdrentengesetz und Rehabilitierung Verfolgter",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",68,"Fremdrentengesetz und Rehabilitierung Verfolgter","TOP 65"
13626,18,250,"TOP 66 Kooperation von Hochschulen und Unternehmen",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",69,"Kooperation von Hochschulen und Unternehmen","TOP 66"
13627,18,250,"TOP 67 Lärmschutz am BER",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",70,"Lärmschutz am BER","TOP 67"
13628,18,250,"TOP 68 Netzneutralität",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",71,"Netzneutralität","TOP 68"
13629,18,250,"TOP  Sitzungsende",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",72,"Sitzungsende","TOP"
13630,18,249,"TOP ZP  Sitzungseröffnung",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-26",0,"Sitzungseröffnung","TOP ZP"
13631,18,249,"TOP ZP 3 Internationale Internetüberwachung",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-26",1,"Internationale Internetüberwachung","TOP ZP 3"
